year,month,area,adjusted,laborforce,employment,unemployment,unemploymentrate,preliminary,fips,longitude,latitude,id
2011,February,Clearwater County,No,3247,2698,549,16.9,No,16035,-115.56204,46.67757,2011-February-Clearwater County
2011,February,Clearwater County,Yes,3274,2797,476,14.5,No,16035,-115.56204,46.67757,2011-February-Clearwater County
2011,February,Custer County,No,2302,2057,245,10.6,No,16037,-114.26143,44.33319,2011-February-Custer County
2011,February,Custer County,Yes,2514,2331,183,7.2,No,16037,-114.26143,44.33319,2011-February-Custer County
2011,February,Elmore County,No,11234,10017,1217,10.8,No,16039,-115.52645,43.11543,2011-February-Elmore County
2011,February,Elmore County,Yes,11386,10254,1132,9.9,No,16039,-115.52645,43.11543,2011-February-Elmore County
2011,February,Franklin County,No,6087,5611,476,7.8,No,16041,-111.76147,42.21003,2011-February-Franklin County
2011,February,Franklin County,Yes,5983,5556,426,7.1,No,16041,-111.76147,42.21003,2011-February-Franklin County
2011,February,Fremont County,No,5708,5046,662,11.5,No,16043,-111.479,44.22427,2011-February-Fremont County
2011,February,Fremont County,Yes,5725,5191,534,9.3,No,16043,-111.479,44.22427,2011-February-Fremont County
2011,February,Gem County,No,7072,6079,993,14,No,16045,-116.35892,44.03249,2011-February-Gem County
2011,February,Gem County,Yes,6950,6115,834,12,No,16045,-116.35892,44.03249,2011-February-Gem County
2011,February,Gooding County,No,9010,8282,728,8,No,16047,-114.74943,42.91806,2011-February-Gooding County
2011,February,Gooding County,Yes,8952,8381,571,6.3,No,16047,-114.74943,42.91806,2011-February-Gooding County
2011,February,Idaho,No,757467,676741,80726,10.6,No,,,,2011-February-Idaho
2011,February,Idaho,Yes,760710,686680,74030,9.7,No,,,,2011-February-Idaho
2011,February,Idaho County,No,7089,6029,1060,14.9,No,16049,-115.72374,45.90195,2011-February-Idaho County
2011,February,Idaho County,Yes,7260,6337,923,12.7,No,16049,-115.72374,45.90195,2011-February-Idaho County
2011,February,Jefferson County,No,11619,10563,1056,9,No,16051,-112.24937,43.76409,2011-February-Jefferson County
2011,February,Jefferson County,Yes,11629,10734,895,7.6,No,16051,-112.24937,43.76409,2011-February-Jefferson County
2011,February,Jerome County,No,10305,9232,1073,10.4,No,16053,-114.32879,42.71282,2011-February-Jerome County
